Unnamed: 0,업종,상호명,행정시,address,전화번호,y,x,place_url,thumbnail,image_link
0,운송장비용 주유소업,(주)무수천주유소 ,,제주특별자치도 제주시 노형로 45 ,064-748-1515,33.4632466564509,126.451984614335,http://place.map.kakao.com/7877224,,
1,운송장비용 주유소업,㈜새신테크 이호주유소 ,,제주특별자치도 제주시 일주서로 7629 ,064-747-0033,33.4952059280889,126.461782346801,http://place.map.kakao.com/7840344,,
2,운송장비용 주유소업,(주)회천주유소 ,,제주특별자치도 제주시 번영로 937 ,064-721-9222,33.47566423068,126.636629990866,http://place.map.kakao.com/11284745,,
3,운송장비용 주유소업,거북이주유소 ,,제주특별자치도 제주시 서광로 58 ,064-743-4777,33.49903751304273,126.50273789078892,http://place.map.kakao.com/11413702,,
4,운송장비용 주유소업,고산주유소 ,,제주특별자치도 제주시 한경면 고산로 5 ,064-772-2626,33.3014691487219,126.179413864263,http://place.map.kakao.com/10165501,,
5,운송장비용 주유소업,공단주유소 ,,제주특별자치도 제주시 연삼로 727 ,064-755-2555,33.5115318281068,126.563524386391,http://place.map.kakao.com/12026504,https://search.pstatic.net/common/?src=http://imgnews.naver.net/image/003/2019/10/15/NISI20191015_0015705494_web_20191015122906_20191015122952143.jpg&type=b150,http://imgnews.naver.net/image/003/2019/10/15/NISI20191015_0015705494_web_20191015122906_20191015122952143.jpg
6,운송장비용 주유소업,광동주유소 ,,제주특별자치도 제주시 일주서로 7832 ,064-742-2525,33.49331483136055,126.48327767392784,http://place.map.kakao.com/8226451,https://search.pstatic.net/common/?src=http://imgnews.naver.net/image/5118/2014/09/29/77927_32412_118_99_20140929091203.jpg&type=b150,http://imgnews.naver.net/image/5118/2014/09/29/77927_32412_118_99_20140929091203.jpg
7,운송장비용 주유소업,구도일주유소 한라 ,,제주특별자치도 제주시 애월읍 평화로 2692 ,064-748-5191,,,,,
8,운송장비용 주유소업,구좌농협우도주유소 ,,제주특별자치도 제주시 우도면 우도로 147 ,064-783-4040,33.5056742746671,126.953584124312,http://place.map.kakao.com/8458081,https://search.pstatic.net/common/?src=http://imgnews.naver.net/image/5084/2013/05/13/20130512175721_59_20130513070548.jpg&type=b150,http://imgnews.naver.net/image/5084/2013/05/13/20130512175721_59_20130513070548.jpg
9,운송장비용 주유소업,구좌농협주유센터 ,,제주특별자치도 제주시 구좌읍 일주동로 3190 ,064-783-5150,33.5190327141486,126.858754751616,http://place.map.kakao.com/21850860,https://search.pstatic.net/common/?src=http://imgnews.naver.net/image/5186/2019/03/27/0000066735_001_20190327171405977.jpg&type=b150,http://imgnews.naver.net/image/5186/2019/03/27/0000066735_001_20190327171405977.jpg
10,운송장비용 주유소업,구좌주유소 ,,제주특별자치도 제주시 구좌읍 일주동로 3243 ,064-783-5188,33.5187359572127,126.864283602868,http://place.map.kakao.com/8206667,https://search.pstatic.net/common/?src=http://imgnews.naver.net/image/5186/2013/07/09/39995_24630_3132_59_20130709113504.jpg&type=b150,http://imgnews.naver.net/image/5186/2013/07/09/39995_24630_3132_59_20130709113504.jpg
11,운송장비용 주유소업,굿모닝주유소 ,,제주특별자치도 제주시 연삼로 135 ,064-747-1151,33.4932985497727,126.506941532191,http://place.map.kakao.com/11378150,,
12,운송장비용 주유소업,귀일주유소 ,,제주특별자치도 제주시 애월읍 하귀로 22 ,064-713-4059,33.4797340365675,126.399626846189,http://place.map.kakao.com/8196502,,
13,운송장비용 주유소업,극동주유소 ,,제주특별자치도 제주시 서광로27길 2 ,064-722-3568,33.5004930290881,126.525354671488,http://place.map.kakao.com/8680398,,
14,운송장비용 주유소업,삼화엔크린주유소 ,,제주특별자치도 제주시 일주서로 7650 ,064-712-5152,33.494332242757054,126.46385166713058,http://place.map.kakao.com/540184178,,
15,운송장비용 주유소업,금성주유소 ,,제주특별자치도 제주시 애월읍 일주서로 5940 ,064-799-7337,33.4441799231235,126.300719889863,http://place.map.kakao.com/8236917,,
16,운송장비용 주유소업,금악주유소 ,,제주특별자치도 제주시 한림읍 한창로 1249 ,064-796-5189,33.35331360794445,126.2984435333184,http://place.map.kakao.com/1029211175,,
17,운송장비용 주유소업,남동주유소 ,,제주특별자치도 제주시 남광로 78 ,064-752-5149,33.495846940945,126.543299238541,http://place.map.kakao.com/8249940,,
18,운송장비용 주유소업,남문주유소 ,,제주특별자치도 제주시 중앙로 372 ,064-751-5185,33.4887803072179,126.538933291512,http://place.map.kakao.com/8222823,,
19,운송장비용 주유소업,남조로주유소 ,,제주특별자치도 제주시 조천읍 남조로 1766 ,064-782-8541,33.42563419057405,126.67496654417177,http://place.map.kakao.com/11413095,https://search.pstatic.net/common/?src=http://imgnews.naver.net/image/5255/2019/01/31/31_620444_20190131162106485.jpg&type=b150,http://imgnews.naver.net/image/5255/2019/01/31/31_620444_20190131162106485.jpg
20,운송장비용 주유소업,남흥주유소 ,,제주특별자치도 제주시 애월읍 평화로 2820-34 ,064-748-0160,33.4566815692237,126.444358971251,http://place.map.kakao.com/11412433,,
21,운송장비용 주유소업,내고향주유소 ,,제주특별자치도 제주시 애월읍 애월로 79 ,064-799-3975,33.4643660753074,126.315849899154,http://place.map.kakao.com/8255717,,
22,운송장비용 주유소업,내트럭㈜제주사업소 ,,제주특별자치도 제주시 번영로 345 ,064-756-3005,33.4979695443472,126.579540678476,http://place.map.kakao.com/27600385,https://search.pstatic.net/common/?src=http://imgnews.naver.net/image/5255/2020/05/19/19-6830243_20200519010251268.jpg&type=b150,http://imgnews.naver.net/image/5255/2020/05/19/19-6830243_20200519010251268.jpg
23,운송장비용 주유소업,노형주유소 ,,제주특별자치도 제주시 1100로 3338 ,064-742-6896,33.4841251039252,126.48073597798,http://place.map.kakao.com/9754157,https://search.pstatic.net/common/?src=http://post.phinf.naver.net/MjAxNzAxMTJfMTQy/MDAxNDg0MTkzMDcxMzc3.rgN1DiPQnrIgTnhXC4glkBGaT10xPy08AUN31WlU4Kcg.LTC-hzwT-cBu_AdVKin1EJQRjZDD-3CHKODvGmtbo64g.JPEG/I20CUmm_c35uX4GEk2mODl_3eejI.jpg&type=b150,http://post.phinf.naver.net/MjAxNzAxMTJfMTQy/MDAxNDg0MTkzMDcxMzc3.rgN1DiPQnrIgTnhXC4glkBGaT10xPy08AUN31WlU4Kcg.LTC-hzwT-cBu_AdVKin1EJQRjZDD-3CHKODvGmtbo64g.JPEG/I20CUmm_c35uX4GEk2mODl_3eejI.jpg
24,운송장비용 주유소업,늘푸른주유소 ,,제주특별자치도 제주시 서광로 99 ,064-712-5182,33.5007023222729,126.506916778591,http://place.map.kakao.com/18678366,https://search.pstatic.net/common/?src=http://imgnews.naver.net/image/5242/2019/12/25/2019122500600_0_20191225095816463.png&type=b150,http://imgnews.naver.net/image/5242/2019/12/25/2019122500600_0_20191225095816463.png
25,운송장비용 주유소업,대섬주유소 ,,제주특별자치도 제주시 조천읍 신북로 111 ,064-783-5774,33.5359469488458,126.625194240476,http://place.map.kakao.com/11412377,,
26,운송장비용 주유소업,대은주유소 ,,제주특별자치도 제주시 번영로 112 ,064-725-5145,33.5063046941458,126.558014497672,http://place.map.kakao.com/11412835,,
27,운송장비용 주유소업,한수풀주유소,,제주특별자치도 제주시 한림읍 일주서로 5354 ,064-796-4498,33.4060810246517,126.271033566257,http://place.map.kakao.com/11412472,,
28,운송장비용 주유소업,대천주유소 ,,제주특별자치도 제주시 구좌읍 비자림로 1219 ,064-783-9975,33.435630130016,126.73516688392,http://place.map.kakao.com/10242083,,
29,운송장비용 주유소업,도남주유소 ,,제주특별자치도 제주시 연삼로 328  ,064-751-2536,33.4918745828598,126.527446194345,http://place.map.kakao.com/11091866,https://search.pstatic.net/common/?src=http://imgnews.naver.net/image/5085/2010/06/01/82313_90210_1431.jpg&type=b150,http://imgnews.naver.net/image/5085/2010/06/01/82313_90210_1431.jpg
30,운송장비용 주유소업,도농주유소 ,,제주특별자치도 제주시 일주서로 7410 ,064-743-3131,33.4937067648035,126.438458170251,http://place.map.kakao.com/11426872,,
31,운송장비용 주유소업,도련주유소 ,,제주특별자치도 제주시 연삼로 874 ,064-757-2626,33.5117914916291,126.579159557514,http://place.map.kakao.com/11413579,https://search.pstatic.net/common/?src=http://imgnews.naver.net/image/003/2006/11/24/2006-11-24T115721Z_01_NOOTR_NISIDSP_2_120061124113102265.JPG&type=b150,http://imgnews.naver.net/image/003/2006/11/24/2006-11-24T115721Z_01_NOOTR_NISIDSP_2_120061124113102265.JPG
32,운송장비용 주유소업,도평주유소 ,,제주특별자치도 제주시 우평로 197 ,064-712-3112,33.4816601050445,126.44534862654,http://place.map.kakao.com/26316957,,
33,운송장비용 주유소업,동귀주유소 ,,제주특별자치도 제주시 애월읍 일주서로 7092 ,064-713-5166,33.4839606507025,126.407112078212,http://place.map.kakao.com/10297989,,
34,운송장비용 주유소업,외도주유소(동방주유소) ,,제주특별자치도 제주시 일주서로 7277  ,064-743-3454,33.4926156053247,126.424648694932,http://place.map.kakao.com/7842247,,
